city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tbilisi,41.7225,44.7925,Georgia,GE,Tbilisi,primary,1118035,1118035
Batumi,41.6458,41.6417,Georgia,GE,Ajaria,admin,169095,169095
Kutaisi,42.2500,42.7000,Georgia,GE,Imereti,admin,147900,147900
Rustavi,41.5472,45.0111,Georgia,GE,Kvemo Kartli,admin,128680,128680
Sokhumi,43.0000,41.0167,Georgia,GE,Abkhazia,admin,64441,64441
Gori,41.9817,44.1124,Georgia,GE,Shida Kartli,admin,48143,44524
Zugdidi,42.5083,41.8667,Georgia,GE,Samegrelo-Zemo Svaneti,admin,42998,41494
Poti,42.1500,41.6667,Georgia,GE,Samegrelo-Zemo Svaneti,minor,41465,41465
Tskhinvali,42.2257,43.9701,Georgia,GE,Shida Kartli,,30432,30432
Kobuleti,41.8111,41.7753,Georgia,GE,Ajaria,minor,27546,27546
Khashuri,41.9975,43.5986,Georgia,GE,Shida Kartli,minor,26135,24601
Samtredia,42.1625,42.3417,Georgia,GE,Imereti,minor,25318,6423
Senaki,42.2689,42.0678,Georgia,GE,Samegrelo-Zemo Svaneti,minor,21596,21596
Zestaponi,42.1083,43.0417,Georgia,GE,Imereti,minor,20814,20814
Marneuli,41.4969,44.8108,Georgia,GE,Kvemo Kartli,minor,20211,12400
Telavi,41.9167,45.4833,Georgia,GE,K’akheti,admin,19629,19509
Gardabani,41.4500,45.1000,Georgia,GE,Kvemo Kartli,minor,15100,1846
Ozurgeti,41.9406,41.9906,Georgia,GE,Guria,admin,14785,844
Akhaltsikhe,41.6389,42.9861,Georgia,GE,Samtskhe-Javakheti,admin,14000,10153
Kaspi,41.9250,44.4222,Georgia,GE,Shida Kartli,minor,13423,12708
Chiatura,42.2903,43.2819,Georgia,GE,Imereti,minor,12803,12803
Tsqaltubo,42.3264,42.6006,Georgia,GE,Imereti,,11281,3409
Sagarejo,41.7333,45.3333,Georgia,GE,K’akheti,minor,10871,10871
Borjomi,41.8389,43.3792,Georgia,GE,Samtskhe-Javakheti,,10546,3500
T’q’ibuli,42.3503,42.9983,Georgia,GE,Imereti,minor,9770,1023
Khoni,42.3244,42.4222,Georgia,GE,Imereti,,8987,8117
Bolnisi,41.4500,44.5333,Georgia,GE,Kvemo Kartli,minor,8967,8967
Akhalkalaki,41.4056,43.4861,Georgia,GE,Samtskhe-Javakheti,minor,8295,8295
